iteration,wasserstein_h1
0,2.5677501724219267
1,2.2757263193743142
2,2.4878305370157134
3,2.5206087690409498
4,2.5879040902080424
5,2.4579449827118722
6,2.41101588651329
7,2.4867694190664076
8,2.5319076862109546
9,2.560227694663441
10,2.5626510699559786
11,2.5594188303499297
12,2.4385379469986104
13,2.672055275509912
14,2.5063349344152104
15,2.6268822066922226
16,2.557295015835227
17,2.7758738786003248
18,2.304702816168545
19,2.4164157630186995
20,2.369155628682501
21,2.432497496726752
22,2.407009026199149
23,2.510854710900814
24,2.557397982313206
25,2.333507816024184
26,2.684695015215323
27,2.0994227275631827
28,2.5910875218635105
29,2.3931740743424443
30,2.2905833070677106
31,2.605033373302493
32,2.540038687144804
33,2.4725949766371533
34,2.5255891986111623
35,2.3202511460108974
36,2.203609927245778
37,2.5183848042657377
38,2.488863989085456
39,2.481193055668936
40,2.6012417327252115
41,2.3580375362582933
42,2.2323011082548954
43,2.4501098854151113
44,2.532327202305579
45,2.4100591135494405
46,2.613729108205523
47,2.363760816842169
48,2.565836641316449
49,2.4053949246513575
50,2.393686908350399
51,2.323290403652598
52,2.486231252096096
53,2.44217944051739
54,2.7571345601041237
55,2.394781542876978
56,2.812277834670774
57,2.5770045874161704
58,2.49396321847519
59,2.5856457911542696
60,2.489374405149386
61,2.6836206841212493
62,2.478522026594012
63,2.7609971416962535
64,2.6386146739625156
65,2.523380813240611
66,2.448188889892471
67,2.337570665586238
68,2.556566837800295
69,2.467772425718774
70,2.6379710980971076
71,2.4574613559310947
72,2.3983776571489694
73,2.8966514925630533
74,2.5082821346648583
75,2.590203867449737
76,2.358383162374275
77,2.4483105738468067
78,2.608188711348374
79,2.4664239188020596
80,2.4967497858827077
81,2.5082029606995095
82,2.243265055182242
83,2.5748292555319097
84,2.2204458463120598
85,2.4735516251262872
86,2.409343700815182
87,2.584440362713419
88,2.314866415710926
89,2.4785385341559243
90,2.659799228640705
91,2.433562269129698
92,2.3066182792085512
93,2.7427836064604865
